MOVIES,YEAR,GENRE,RATING,VOTES,RunTime
 Bir Baskadir,(2020– ),"
Drama, Thriller            ",8.5,779,49.0
 The Boondocks,(2005–2014),"
Animation, Action, Comedy            ",8.0,258,23.0
 Le Bazar de la Charité,-2019,"
Drama, History            ",7.7,94,49.0
 La casa de papel,(2017–2021),"
Action, Crime, Mystery            ",7.4,"6,057",52.0
 The Umbrella Academy,(2019– ),"
Action, Adventure, Comedy            ",8.4,"2,911",50.0
 The Umbrella Academy,(2019– ),"
Action, Adventure, Comedy            ",8.6,"3,012",47.0
 The Umbrella Academy,(2019– ),"
Action, Adventure, Comedy            ",9.1,"3,928",49.0
 Riverdale,(2017– ),"
Crime, Drama, Mystery            ",7.2,717,42.0
 Mortel,(2019–2021),"
Crime, Drama, Fantasy            ",8.1,44,45.0
 Mortel,(2019–2021),"
Crime, Drama, Fantasy            ",6.9,43,49.0
 Mortel,(2019–2021),"
Crime, Drama, Fantasy            ",7.3,44,49.0
 Mortel,(2019–2021),"
Crime, Drama, Fantasy            ",7.3,43,54.0
 Black Lightning,(2017–2021),"
Action, Drama, Sci-Fi            ",7.2,328,42.0
 Mortel,(2019–2021),"
Crime, Drama, Fantasy            ",8.0,44,46.0
 Narcoworld: Dope Stories,(2019– ),"
Documentary, Crime            ",7.2,45,47.0
 Narcoworld: Dope Stories,(2019– ),"
Documentary, Crime            ",7.0,32,39.0
 Narcoworld: Dope Stories,(2019– ),"
Documentary, Crime            ",7.5,28,37.0
 Narcoworld: Dope Stories,(2019– ),"
Documentary, Crime            ",6.8,29,38.0
 Avatar: The Last Airbender,(2005–2008),"
Animation, Action, Adventure            ",9.5,"3,275",47.0
 Black Lightning,(2017–2021),"
Action, Drama, Sci-Fi            ",7.3,395,41.0
 Don't F**k with Cats: Hunting an Internet Killer,-2019,"
Documentary, Crime            ",8.4,"1,311",66.0
 Don't F**k with Cats: Hunting an Internet Killer,-2019,"
Documentary, Crime            ",8.4,"1,206",57.0
 Don't F**k with Cats: Hunting an Internet Killer,-2019,"
Documentary, Crime            ",8.2,"1,179",64.0
 Dynasty,(2017– ),"
Drama            ",8.2,197,42.0
 Avatar: The Last Airbender,(2005–2008),"
Animation, Action, Adventure            ",9.2,"3,092",47.0
 Jamtara: Sabka Number Ayega,(2020– ),"
Crime            ",7.0,89,25.0
 Johnny Test,(2005– ),"
Animation, Action, Adventure            ",5.8,20,23.0
 The Flash,(2014– ),"
Action, Adventure, Drama            ",7.1,"1,398",42.0
 The Flash,(2014– ),"
Action, Adventure, Drama            ",7.7,"1,392",42.0
 Sorjonen,(2016–2020),"
Crime, Drama, Mystery            ",7.5,126,56.0
 Sorjonen,(2016–2020),"
Crime, Drama, Mystery            ",7.1,139,60.0
 Sorjonen,(2016–2020),"
Crime, Drama, Mystery            ",7.3,123,59.0
 Sorjonen,(2016–2020),"
Crime, Drama, Mystery            ",7.2,118,58.0
 Sorjonen,(2016–2020),"
Crime, Drama, Mystery            ",7.2,114,59.0
 Sorjonen,(2016–2020),"
Crime, Drama, Mystery            ",7.5,112,60.0
 Sorjonen,(2016–2020),"
Crime, Drama, Mystery            ",7.8,112,60.0
 Sorjonen,(2016–2020),"
Crime, Drama, Mystery            ",7.8,95,57.0
 Sorjonen,(2016–2020),"
Crime, Drama, Mystery            ",8.0,120,60.0
 Avatar: The Last Airbender,(2005–2008),"
Animation, Action, Adventure            ",9.0,"2,986",25.0
 Virgin River,(2019– ),"
Drama, Romance            ",7.7,295,45.0
 Virgin River,(2019– ),"
Drama, Romance            ",7.7,306,40.0
 Virgin River,(2019– ),"
Drama, Romance            ",7.8,295,41.0
 Virgin River,(2019– ),"
Drama, Romance            ",8.0,310,44.0
 Virgin River,(2019– ),"
Drama, Romance            ",8.5,380,45.0
 The Confession Killer,-2019,"
Documentary, Crime            ",7.2,318,45.0
 The Confession Killer,-2019,"
Documentary, Crime            ",7.5,287,50.0
 The Confession Killer,-2019,"
Documentary, Crime            ",7.6,271,49.0
 The Confession Killer,-2019,"
Documentary, Crime            ",7.7,255,46.0
 The Confession Killer,-2019,"
Documentary, Crime            ",7.6,248,50.0
 Lupin,(2021– ),"
Action, Crime, Drama            ",7.9,"3,271",47.0
 Riverdale,(2017– ),"
Crime, Drama, Mystery            ",7.1,668,42.0
 Le Bazar de la Charité,-2019,"
Drama, History            ",7.9,89,53.0
 Le Bazar de la Charité,-2019,"
Drama, History            ",7.9,88,48.0
 Undercover,(2019– ),"
Crime, Drama, Thriller            ",7.8,258,49.0
 Undercover,(2019– ),"
Crime, Drama, Thriller            ",7.2,241,49.0
 Undercover,(2019– ),"
Crime, Drama, Thriller            ",7.5,247,50.0
 Undercover,(2019– ),"
Crime, Drama, Thriller            ",7.8,232,51.0
 Undercover,(2019– ),"
Crime, Drama, Thriller            ",7.5,286,46.0
 Halston,-2021,"
Biography, Drama            ",7.7,546,46.0
 Unsolved Mysteries,(2020– ),"
Documentary, Crime, Mystery            ",7.7,841,49.0
 Unsolved Mysteries,(2020– ),"
Documentary, Crime, Mystery            ",7.4,666,43.0
 Unsolved Mysteries,(2020– ),"
Documentary, Crime, Mystery            ",7.1,913,46.0
 Jamtara: Sabka Number Ayega,(2020– ),"
Crime            ",7.1,89,30.0
 Jamtara: Sabka Number Ayega,(2020– ),"
Crime            ",7.1,90,25.0
 Virgin River,(2019– ),"
Drama, Romance            ",8.2,521,45.0
 Lugar de Mulher,(2019– ),"
Comedy            ",5.6,5,16.0
 Riverdale,(2017– ),"
Crime, Drama, Mystery            ",7.1,684,42.0
 La casa de papel,(2017–2021),"
Action, Crime, Mystery            ",7.1,"5,514",44.0
 La casa de papel,(2017–2021),"
Action, Crime, Mystery            ",7.0,"5,380",42.0
 La casa de papel,(2017–2021),"
Action, Crime, Mystery            ",7.4,"5,289",53.0
 La casa de papel,(2017–2021),"
Action, Crime, Mystery            ",6.8,"5,972",42.0
 La casa de papel,(2017–2021),"
Action, Crime, Mystery            ",7.2,"6,162",45.0
 La casa de papel,(2017–2021),"
Action, Crime, Mystery            ",8.2,"5,896",52.0
 Le Bazar de la Charité,-2019,"
Drama, History            ",7.9,87,48.0
 Le Bazar de la Charité,-2019,"
Drama, History            ",8.0,85,54.0
 Age of Samurai: Battle for Japan,(2021– ),"
Documentary, Action, Adventure            ",7.4,215,43.0
 Age of Samurai: Battle for Japan,(2021– ),"
Documentary, Action, Adventure            ",7.4,177,42.0
 Age of Samurai: Battle for Japan,(2021– ),"
Documentary, Action, Adventure            ",7.6,167,42.0
 Age of Samurai: Battle for Japan,(2021– ),"
Documentary, Action, Adventure            ",7.4,157,43.0
 Age of Samurai: Battle for Japan,(2021– ),"
Documentary, Action, Adventure            ",7.5,142,43.0
 Age of Samurai: Battle for Japan,(2021– ),"
Documentary, Action, Adventure            ",7.4,138,44.0
 La casa de papel,(2017–2021),"
Action, Crime, Mystery            ",8.2,"7,176",60.0
 The Circle,(2020– ),"
Game-Show, Reality-TV            ",7.5,175,63.0
 A Suitable Boy,(2020– ),"
Drama, Romance            ",6.1,156,58.0
 Jamtara: Sabka Number Ayega,(2020– ),"
Crime            ",6.8,92,23.0
 Black Summer,(2019– ),"
Action, Drama, Horror            ",7.8,736,44.0
 Johnny Test,(2005– ),"
Animation, Action, Adventure            ",5.6,21,23.0
 The Boondocks,(2005–2014),"
Animation, Action, Comedy            ",8.3,278,23.0
 The Sinner,(2017– ),"
Crime, Drama, Mystery            ",6.5,"1,275",46.0
 The Sinner,(2017– ),"
Crime, Drama, Mystery            ",6.4,"1,297",42.0
 The Sinner,(2017– ),"
Crime, Drama, Mystery            ",5.6,"1,980",50.0
 A Suitable Boy,(2020– ),"
Drama, Romance            ",6.2,239,58.0
 Kalifat,(2020– ),"
Crime, Drama, Thriller            ",7.5,371,47.0
 Next in Fashion,-2020,"
Reality-TV            ",7.3,113,50.0
 Hache,(2019–2021),"
Crime, Drama, Thriller            ",6.7,24,47.0
 The Boondocks,(2005–2014),"
Animation, Action, Comedy            ",7.7,207,23.0
 Blood & Water,(2020– ),"
Drama, Mystery            ",7.5,68,44.0
 Blood & Water,(2020– ),"
Drama, Mystery            ",7.5,63,50.0
 Blood & Water,(2020– ),"
Drama, Mystery            ",7.9,63,49.0
 Blood & Water,(2020– ),"
Drama, Mystery            ",7.6,61,53.0
 Blood & Water,(2020– ),"
Drama, Mystery            ",7.7,65,51.0
 Equinox,(2020– ),"
Drama, Fantasy, Mystery            ",6.9,267,46.0
 Equinox,(2020– ),"
Drama, Fantasy, Mystery            ",6.9,232,46.0
 Equinox,(2020– ),"
Drama, Fantasy, Mystery            ",6.9,218,52.0
 Equinox,(2020– ),"
Drama, Fantasy, Mystery            ",7.0,208,43.0
 Equinox,(2020– ),"
Drama, Fantasy, Mystery            ",6.9,204,41.0
 Equinox,(2020– ),"
Drama, Fantasy, Mystery            ",6.2,230,42.0
 Lupin,(2021– ),"
Action, Crime, Drama            ",7.8,"2,653",52.0
 Lupin,(2021– ),"
Action, Crime, Drama            ",7.6,"2,428",42.0
 Fauda,(2015– ),"
Action, Drama, Thriller            ",8.2,310,50.0
 Nisman,(2019–2020),"
Documentary, Crime, History            ",7.9,33,54.0
 Nisman,(2019–2020),"
Documentary, Crime, History            ",8.0,20,65.0
 Nisman,(2019–2020),"
Documentary, Crime, History            ",7.7,18,59.0
 Nisman,(2019–2020),"
Documentary, Crime, History            ",8.0,17,68.0
 Nisman,(2019–2020),"
Documentary, Crime, History            ",8.5,17,65.0
 Nisman,(2019–2020),"
Documentary, Crime, History            ",7.9,15,62.0
 The Boondocks,(2005–2014),"
Animation, Action, Comedy            ",7.7,208,22.0
 Dynasty,(2017– ),"
Drama            ",8.2,197,42.0
 Fauda,(2015– ),"
Action, Drama, Thriller            ",8.3,272,50.0
 Black Lightning,(2017–2021),"
Action, Drama, Sci-Fi            ",7.0,309,40.0
 Johnny Test,(2005– ),"
Animation, Action, Adventure            ",6.1,29,22.0
 The A List,(2018– ),"
Crime, Drama, Mystery            ",8.3,35,28.0
 The Circle,(2020– ),"
Game-Show, Reality-TV            ",7.3,158,49.0
 The Circle,(2020– ),"
Game-Show, Reality-TV            ",7.7,155,44.0
 The Circle,(2020– ),"
Game-Show, Reality-TV            ",7.6,151,46.0
 Johnny Test,(2005– ),"
Animation, Action, Adventure            ",5.7,21,23.0
 Fauda,(2015– ),"
Action, Drama, Thriller            ",8.3,257,44.0
 The Circle,(2020– ),"
Game-Show, Reality-TV            ",7.3,136,48.0
 The Circle,(2020– ),"
Game-Show, Reality-TV            ",7.9,141,45.0
 The Circle,(2020– ),"
Game-Show, Reality-TV            ",8.0,140,53.0
 The Circle,(2020– ),"
Game-Show, Reality-TV            ",8.1,155,48.0
 The Last Kingdom,(2015– ),"
Action, Drama, History            ",8.9,"1,765",50.0
 The Last Kingdom,(2015– ),"
Action, Drama, History            ",8.9,"1,761",52.0
 Trollhunters,(2016–2018),"
Animation, Action, Adventure            ",8.3,23,1.0
 Fauda,(2015– ),"
Action, Drama, Thriller            ",8.1,248,40.0
 Dynasty,(2017– ),"
Drama            ",7.8,187,42.0
 Selena: The Series,(2020–2021),"
Biography, Drama, Music            ",7.5,129,38.0
 The Circle,(2020– ),"
Game-Show, Reality-TV            ",8.0,137,47.0
 The Circle,(2020– ),"
Game-Show, Reality-TV            ",7.8,132,47.0
 The Circle,(2020– ),"
Game-Show, Reality-TV            ",8.0,135,42.0
 The Circle,(2020– ),"
Game-Show, Reality-TV            ",7.2,151,56.0
 The Epic Tales of Captain Underpants,(2018–2020),"
Animation, Short, Action            ",6.3,94,37.0
 The Pharmacist,-2020,"
Documentary, Crime            ",7.8,243,61.0
 The Pharmacist,-2020,"
Documentary, Crime            ",8.0,215,59.0
 The Pharmacist,-2020,"
Documentary, Crime            ",8.3,204,48.0
 The Pharmacist,-2020,"
Documentary, Crime            ",8.2,195,49.0
 Night on Earth,-2020,"
Documentary            ",7.8,303,53.0
 Poketto monsutâ,(1997– ),"
Animation, Action, Adventure            ",7.8,59,21.0
 Dynasty,(2017– ),"
Drama            ",8.0,166,42.0
 Dynasty,(2017– ),"
Drama            ",7.6,194,42.0
 Black Lightning,(2017–2021),"
Action, Drama, Sci-Fi            ",7.0,304,42.0
 Fauda,(2015– ),"
Action, Drama, Thriller            ",8.2,248,38.0
 13 Reasons Why,(2017–2020),"
Drama, Mystery, Thriller            ",6.2,"1,619",57.0
 Riverdale,(2017– ),"
Crime, Drama, Mystery            ",6.9,647,42.0
 Kalifat,(2020– ),"
Crime, Drama, Thriller            ",7.6,315,47.0
 Black Lightning,(2017–2021),"
Action, Drama, Sci-Fi            ",7.2,302,41.0
 Pandemic: How to Prevent an Outbreak,(2020– ),"
Documentary            ",6.7,221,52.0
 Pandemic: How to Prevent an Outbreak,(2020– ),"
Documentary            ",6.6,153,50.0
 Pandemic: How to Prevent an Outbreak,(2020– ),"
Documentary            ",6.6,107,49.0
 Riverdale,(2017– ),"
Crime, Drama, Mystery            ",7.4,692,42.0
 Riverdale,(2017– ),"
Crime, Drama, Mystery            ",8.1,769,42.0
 The Flash,(2014– ),"
Action, Adventure, Drama            ",7.8,"1,300",42.0
 Avatar: The Last Airbender,(2005–2008),"
Animation, Action, Adventure            ",9.3,"3,294",24.0
 Kalifat,(2020– ),"
Crime, Drama, Thriller            ",7.8,301,47.0
 Fauda,(2015– ),"
Action, Drama, Thriller            ",8.0,244,46.0
 The Haunting of Bly Manor,-2020,"
Drama, Horror, Mystery            ",7.5,"3,541",45.0
 Black Lightning,(2017–2021),"
Action, Drama, Sci-Fi            ",7.8,329,42.0
 Kalifat,(2020– ),"
Crime, Drama, Thriller            ",7.9,292,47.0
 Night on Earth,-2020,"
Documentary            ",8.2,248,45.0
 Night on Earth,-2020,"
Documentary            ",7.9,202,53.0
 Night on Earth,-2020,"
Documentary            ",8.2,211,48.0
 Night on Earth,-2020,"
Documentary            ",8.2,197,41.0
 Night on Earth,-2020,"
Documentary            ",7.9,179,51.0
 The Last Kingdom,(2015– ),"
Action, Drama, History            ",9.0,"1,930",55.0
 The Last Kingdom,(2015– ),"
Action, Drama, History            ",9.1,"1,854",52.0
 The Last Kingdom,(2015– ),"
Action, Drama, History            ",9.4,"2,278",55.0
 13 Reasons Why,(2017–2020),"
Drama, Mystery, Thriller            ",6.1,"1,507",57.0
 13 Reasons Why,(2017–2020),"
Drama, Mystery, Thriller            ",6.6,"1,694",61.0
 Fauda,(2015– ),"
Action, Drama, Thriller            ",8.6,283,43.0
 The Flash,(2014– ),"
Action, Adventure, Drama            ",8.1,"1,411",42.0
 Baby,(2018–2020),"
Drama            ",7.7,85,49.0
 Baby,(2018–2020),"
Drama            ",8.0,92,43.0
 Baby,(2018–2020),"
Drama            ",7.6,83,39.0
 Baby,(2018–2020),"
Drama            ",7.8,89,43.0
 Baby,(2018–2020),"
Drama            ",7.9,105,49.0
 Sex/Life,(2021– ),"
Comedy, Drama, Romance            ",6.3,333,45.0
 Black Lightning,(2017–2021),"
Action, Drama, Sci-Fi            ",7.3,300,41.0
 Black Lightning,(2017–2021),"
Action, Drama, Sci-Fi            ",7.5,311,42.0
 Sex/Life,(2021– ),"
Comedy, Drama, Romance            ",6.5,233,51.0
 Sex/Life,(2021– ),"
Comedy, Drama, Romance            ",6.2,188,43.0
 Sex/Life,(2021– ),"
Comedy, Drama, Romance            ",6.6,190,46.0
 Sex/Life,(2021– ),"
Comedy, Drama, Romance            ",6.7,183,47.0
 Sex/Life,(2021– ),"
Comedy, Drama, Romance            ",6.3,181,51.0
 Sex/Life,(2021– ),"
Comedy, Drama, Romance            ",4.7,278,52.0
 Fauda,(2015– ),"
Action, Drama, Thriller            ",8.3,256,44.0
 Dynasty,(2017– ),"
Drama            ",8.2,173,42.0
 The Boondocks,(2005–2014),"
Animation, Action, Comedy            ",8.0,199,22.0
 The Boondocks,(2005–2014),"
Animation, Action, Comedy            ",8.5,235,24.0
 Kalifat,(2020– ),"
Crime, Drama, Thriller            ",7.9,278,47.0
 A Suitable Boy,(2020– ),"
Drama, Romance            ",6.3,119,58.0
 A Suitable Boy,(2020– ),"
Drama, Romance            ",6.3,122,58.0
 Avatar: The Last Airbender,(2005–2008),"
Animation, Action, Adventure            ",8.8,"2,880",46.0
 Love Is Blind,(2020– ),"
Reality-TV, Romance            ",6.1,201,58.0
 Love Is Blind,(2020– ),"
Reality-TV, Romance            ",6.1,173,59.0
 After Life,(2019– ),"
Comedy, Drama            ",7.9,"1,755",27.0
 After Life,(2019– ),"
Comedy, Drama            ",8.1,"1,696",31.0
 After Life,(2019– ),"
Comedy, Drama            ",8.3,"1,667",26.0
 After Life,(2019– ),"
Comedy, Drama            ",8.5,"1,716",28.0
 After Life,(2019– ),"
Comedy, Drama            ",9.0,"2,245",30.0
 Love Is Blind,(2020– ),"
Reality-TV, Romance            ",6.2,160,53.0
 Love Is Blind,(2020– ),"
Reality-TV, Romance            ",6.5,150,48.0
 Love Is Blind,(2020– ),"
Reality-TV, Romance            ",6.2,144,51.0
 Love Is Blind,(2020– ),"
Reality-TV, Romance            ",6.4,140,57.0
 Love Is Blind,(2020– ),"
Reality-TV, Romance            ",6.5,138,49.0
 Love Is Blind,(2020– ),"
Reality-TV, Romance            ",6.3,130,54.0
 Love Is Blind,(2020– ),"
Reality-TV, Romance            ",6.3,129,55.0
 Love Is Blind,(2020– ),"
Reality-TV, Romance            ",7.2,138,84.0
 The Boondocks,(2005–2014),"
Animation, Action, Comedy            ",8.7,263,23.0
 Masters of the Universe: Revelation,(2021– ),"
Animation, Action, Adventure            ",6.6,"1,507",25.0
 Masters of the Universe: Revelation,(2021– ),"
Animation, Action, Adventure            ",5.5,"1,190",24.0
 Masters of the Universe: Revelation,(2021– ),"
Animation, Action, Adventure            ",5.7,"1,063",24.0
 Masters of the Universe: Revelation,(2021– ),"
Animation, Action, Adventure            ",6.0,"1,033",26.0
 Masters of the Universe: Revelation,(2021– ),"
Animation, Action, Adventure            ",5.9,"1,042",27.0
 Johnny Test,(2005– ),"
Animation, Action, Adventure            ",5.9,26,23.0
 Johnny Test,(2005– ),"
Animation, Action, Adventure            ",5.8,20,23.0
 Taj Mahal 1989,(2020– ),"
Comedy, Drama, Romance            ",7.2,29,31.0
 Taj Mahal 1989,(2020– ),"
Comedy, Drama, Romance            ",7.3,31,36.0
 Taj Mahal 1989,(2020– ),"
Comedy, Drama, Romance            ",7.7,24,34.0
 Taj Mahal 1989,(2020– ),"
Comedy, Drama, Romance            ",7.8,26,33.0
 Taj Mahal 1989,(2020– ),"
Comedy, Drama, Romance            ",7.8,24,36.0
 Taj Mahal 1989,(2020– ),"
Comedy, Drama, Romance            ",8.0,26,36.0
 Riverdale,(2017– ),"
Crime, Drama, Mystery            ",7.4,767,42.0
 Kalifat,(2020– ),"
Crime, Drama, Thriller            ",8.3,291,47.0
 The Boondocks,(2005–2014),"
Animation, Action, Comedy            ",8.7,242,22.0
 Riverdale,(2017– ),"
Crime, Drama, Mystery            ",8.5,"1,032",42.0
 Riverdale,(2017– ),"
Crime, Drama, Mystery            ",3.5,"2,540",42.0
 Riverdale,(2017– ),"
Crime, Drama, Mystery            ",6.8,807,42.0
 Fauda,(2015– ),"
Action, Drama, Thriller            ",8.5,273,49.0
 Bloodride,(2020– ),"
Horror, Mystery, Thriller            ",6.7,504,31.0
 The Trials of Gabriel Fernandez,-2020,"
Documentary, Crime            ",8.1,345,47.0
 The Trials of Gabriel Fernandez,-2020,"
Documentary, Crime            ",8.2,311,52.0
 The Trials of Gabriel Fernandez,-2020,"
Documentary, Crime            ",8.4,297,63.0
 The Trials of Gabriel Fernandez,-2020,"
Documentary, Crime            ",8.1,274,55.0
 The Trials of Gabriel Fernandez,-2020,"
Documentary, Crime            ",8.3,263,50.0
 The Trials of Gabriel Fernandez,-2020,"
Documentary, Crime            ",8.6,266,61.0
 Bloodride,(2020– ),"
Horror, Mystery, Thriller            ",6.6,454,27.0
 Bloodride,(2020– ),"
Horror, Mystery, Thriller            ",6.3,405,27.0
 Bloodride,(2020– ),"
Horror, Mystery, Thriller            ",6.5,381,32.0
 Bloodride,(2020– ),"
Horror, Mystery, Thriller            ",5.9,351,28.0
 Bloodride,(2020– ),"
Horror, Mystery, Thriller            ",6.1,332,27.0
 Fauda,(2015– ),"
Action, Drama, Thriller            ",8.5,278,37.0
 Kalifat,(2020– ),"
Crime, Drama, Thriller            ",8.3,289,47.0
 Castlevania,(2017–2021),"
Animation, Action, Adventure            ",7.9,"1,027",22.0
 Castlevania,(2017–2021),"
Animation, Action, Adventure            ",8.4,"1,080",23.0
 Castlevania,(2017–2021),"
Animation, Action, Adventure            ",8.0,"1,008",25.0
 Castlevania,(2017–2021),"
Animation, Action, Adventure            ",8.4,"1,023",25.0
 Castlevania,(2017–2021),"
Animation, Action, Adventure            ",9.5,"1,949",25.0
 Élite,(2018– ),"
Crime, Drama, Thriller            ",7.3,808,54.0
 Castlevania,(2017–2021),"
Animation, Action, Adventure            ",9.3,"1,607",28.0
 13 Reasons Why,(2017–2020),"
Drama, Mystery, Thriller            ",5.6,"1,635",59.0
 13 Reasons Why,(2017–2020),"
Drama, Mystery, Thriller            ",5.9,"1,420",60.0
 Formula 1: Drive to Survive,(2019– ),"
Documentary, Sport            ",7.8,572,38.0
 Formula 1: Drive to Survive,(2019– ),"
Documentary, Sport            ",8.3,612,37.0
 Formula 1: Drive to Survive,(2019– ),"
Documentary, Sport            ",8.0,569,36.0
 Formula 1: Drive to Survive,(2019– ),"
Documentary, Sport            ",8.8,681,37.0
 Formula 1: Drive to Survive,(2019– ),"
Documentary, Sport            ",7.8,534,32.0
 Formula 1: Drive to Survive,(2019– ),"
Documentary, Sport            ",7.8,520,38.0
 Formula 1: Drive to Survive,(2019– ),"
Documentary, Sport            ",7.5,516,31.0
 Formula 1: Drive to Survive,(2019– ),"
Documentary, Sport            ",8.3,552,31.0
 The Serpent,-2021,"
Crime, Drama, Thriller            ",8.1,624,58.0
 Fauda,(2015– ),"
Action, Drama, Thriller            ",7.7,242,41.0
 Dynasty,(2017– ),"
Drama            ",7.8,169,41.0
 Love Is Blind,(2020– ),"
Reality-TV, Romance            ",6.1,108,51.0
 Johnny Test,(2005– ),"
Animation, Action, Adventure            ",6.3,23,23.0
 Johnny Test,(2005– ),"
Animation, Action, Adventure            ",6.5,30,23.0
 13 Reasons Why,(2017–2020),"
Drama, Mystery, Thriller            ",6.8,"1,640",60.0
 13 Reasons Why,(2017–2020),"
Drama, Mystery, Thriller            ",7.7,"2,312",98.0
 She,(2020– ),"
Crime, Drama            ",7.2,73,33.0
 Vampires,(2020– ),"
Drama, Fantasy, Horror            ",6.5,64,44.0
 Kalifat,(2020– ),"
Crime, Drama, Thriller            ",8.5,345,54.0
 Fauda,(2015– ),"
Action, Drama, Thriller            ",8.0,289,39.0
 Ragnarok,(2020– ),"
Action, Drama, Fantasy            ",8.1,603,50.0
 El desorden que dejas,-2020,"
Crime, Drama, Mystery            ",6.9,185,47.0
 El desorden que dejas,-2020,"
Crime, Drama, Mystery            ",6.8,172,41.0
 El desorden que dejas,-2020,"
Crime, Drama, Mystery            ",6.7,159,46.0
 El desorden que dejas,-2020,"
Crime, Drama, Mystery            ",6.9,153,46.0
 El desorden que dejas,-2020,"
Crime, Drama, Mystery            ",7.0,153,42.0
 El desorden que dejas,-2020,"
Crime, Drama, Mystery            ",6.8,156,35.0
 El desorden que dejas,-2020,"
Crime, Drama, Mystery            ",7.2,227,50.0
 Avatar: The Last Airbender,(2005–2008),"
Animation, Action, Adventure            ",9.0,"3,056",24.0
 Vampires,(2020– ),"
Drama, Fantasy, Horror            ",6.7,52,38.0
 Vampires,(2020– ),"
Drama, Fantasy, Horror            ",6.6,45,37.0
 Vampires,(2020– ),"
Drama, Fantasy, Horror            ",6.5,43,40.0
 Vampires,(2020– ),"
Drama, Fantasy, Horror            ",6.5,41,37.0
 Vampires,(2020– ),"
Drama, Fantasy, Horror            ",6.5,42,42.0
 Avatar: The Last Airbender,(2005–2008),"
Animation, Action, Adventure            ",9.3,"3,156",46.0
" Tiger King: Murder, Mayhem and Madness",-2020,"
Documentary, Biography, Crime            ",7.5,"2,245",49.0
 Dirty Money,(2018– ),"
Documentary, Crime            ",8.0,411,65.0
 On My Block,(2018– ),"
Comedy, Drama            ",8.0,149,32.0
 On My Block,(2018– ),"
Comedy, Drama            ",8.2,142,29.0
 On My Block,(2018– ),"
Comedy, Drama            ",8.1,141,30.0
 On My Block,(2018– ),"
Comedy, Drama            ",8.3,141,33.0
 On My Block,(2018– ),"
Comedy, Drama            ",8.2,143,31.0
 On My Block,(2018– ),"
Comedy, Drama            ",8.4,143,29.0
 On My Block,(2018– ),"
Comedy, Drama            ",8.7,202,37.0
 ÜberWeihnachten,-2020,"
Comedy, Drama, Romance            ",7.2,65,48.0
 ÜberWeihnachten,-2020,"
Comedy, Drama, Romance            ",7.5,66,50.0
 ÜberWeihnachten,-2020,"
Comedy, Drama, Romance            ",7.2,59,45.0
 Dynasty,(2017– ),"
Drama            ",8.0,166,42.0
 The Midnight Gospel,(2020– ),"
Animation, Adventure, Comedy            ",8.0,"1,218",21.0
 Johnny Test,(2005– ),"
Animation, Action, Adventure            ",6.1,24,23.0
 Poketto monsutâ,(1997– ),"
Animation, Action, Adventure            ",6.9,59,21.0
 Poketto monsutâ,(1997– ),"
Animation, Action, Adventure            ",7.2,46,21.0
" Tiger King: Murder, Mayhem and Madness",-2020,"
Documentary, Biography, Crime            ",7.8,"2,077",47.0
" Tiger King: Murder, Mayhem and Madness",-2020,"
Documentary, Biography, Crime            ",7.9,"2,071",47.0
" Tiger King: Murder, Mayhem and Madness",-2020,"
Documentary, Biography, Crime            ",7.6,"1,887",46.0
" Tiger King: Murder, Mayhem and Madness",-2020,"
Documentary, Biography, Crime            ",7.8,"1,856",44.0
" Tiger King: Murder, Mayhem and Madness",-2020,"
Documentary, Biography, Crime            ",7.4,"1,772",44.0
" Tiger King: Murder, Mayhem and Madness",-2020,"
Documentary, Biography, Crime            ",7.5,"1,747",41.0
 Poketto monsutâ,(1997– ),"
Animation, Action, Adventure            ",7.4,57,21.0
 Poketto monsutâ,(1997– ),"
Animation, Action, Adventure            ",6.5,47,21.0
 Poketto monsutâ,(1997– ),"
Animation, Action, Adventure            ",6.6,47,21.0
 Poketto monsutâ,(1997– ),"
Animation, Action, Adventure            ",8.3,50,21.0
 Yasuke,(2021– ),"
Animation, Action, Adventure            ",7.0,211,30.0
 The Circle,(2020– ),"
Game-Show, Reality-TV            ",7.2,124,58.0
 7Seeds,(2019–2020),"
Animation, Action, Adventure            ",7.0,26,24.0
 7Seeds,(2019–2020),"
Animation, Action, Adventure            ",6.7,22,24.0
 7Seeds,(2019–2020),"
Animation, Action, Adventure            ",6.8,22,24.0
 7Seeds,(2019–2020),"
Animation, Action, Adventure            ",7.0,23,24.0
 7Seeds,(2019–2020),"
Animation, Action, Adventure            ",6.8,22,24.0
 7Seeds,(2019–2020),"
Animation, Action, Adventure            ",6.7,21,24.0
 7Seeds,(2019–2020),"
Animation, Action, Adventure            ",6.8,22,24.0
 7Seeds,(2019–2020),"
Animation, Action, Adventure            ",6.7,21,24.0
 7Seeds,(2019–2020),"
Animation, Action, Adventure            ",7.1,23,25.0
 7Seeds,(2019–2020),"
Animation, Action, Adventure            ",6.8,24,24.0
 7Seeds,(2019–2020),"
Animation, Action, Adventure            ",7.8,26,24.0
 7Seeds,(2019–2020),"
Animation, Action, Adventure            ",7.8,26,24.0
 Dynasty,(2017– ),"
Drama            ",7.9,163,42.0
 She-Ra and the Princesses of Power,(2018–2020),"
Animation, Action, Adventure            ",9.0,"1,047",24.0
 Avatar: The Last Airbender,(2005–2008),"
Animation, Action, Adventure            ",8.7,"3,246",25.0
